GEOID,NAME,medincE,medincM
47157021113,"Census Tract 211.13, Shelby County, Tennessee",64577,5641
47157021342,"Census Tract 213.42, Shelby County, Tennessee",60891,8759
47157021530,"Census Tract 215.30, Shelby County, Tennessee",131810,7431
47157021611,"Census Tract 216.11, Shelby County, Tennessee",91932,17060
47157021731,"Census Tract 217.31, Shelby County, Tennessee",41089,3242
47157021752,"Census Tract 217.52, Shelby County, Tennessee",67841,14531
47065010104,"Census Tract 101.04, Hamilton County, Tennessee",59250,19927
47065010201,"Census Tract 102.01, Hamilton County, Tennessee",79063,20391
47065010202,"Census Tract 102.02, Hamilton County, Tennessee",54889,9079
47065010303,"Census Tract 103.03, Hamilton County, Tennessee",71250,9486
47065010304,"Census Tract 103.04, Hamilton County, Tennessee",68464,8190
47065010305,"Census Tract 103.05, Hamilton County, Tennessee",73488,18293
47065010306,"Census Tract 103.06, Hamilton County, Tennessee",43722,4756
47065010307,"Census Tract 103.07, Hamilton County, Tennessee",47935,7988
47065010434,"Census Tract 104.34, Hamilton County, Tennessee",67530,13743
47065010435,"Census Tract 104.35, Hamilton County, Tennessee",45438,9231
47065010901,"Census Tract 109.01, Hamilton County, Tennessee",52644,3365
47065010902,"Census Tract 109.02, Hamilton County, Tennessee",50865,13680
47065010903,"Census Tract 109.03, Hamilton County, Tennessee",54338,12095
47065011001,"Census Tract 110.01, Hamilton County, Tennessee",54238,5488
47065011002,"Census Tract 110.02, Hamilton County, Tennessee",106846,8869
47065011203,"Census Tract 112.03, Hamilton County, Tennessee",85391,14914
47065011204,"Census Tract 112.04, Hamilton County, Tennessee",59726,6979
47065011323,"Census Tract 113.23, Hamilton County, Tennessee",76382,7838
47165020300,"Census Tract 203, Sumner County, Tennessee",43540,3013
47165020901,"Census Tract 209.01, Sumner County, Tennessee",63500,10992
47165021002,"Census Tract 210.02, Sumner County, Tennessee",82924,5350
47093005602,"Census Tract 56.02, Knox County, Tennessee",69196,14194
47163040500,"Census Tract 405, Sullivan County, Tennessee",31743,7542
47163042100,"Census Tract 421, Sullivan County, Tennessee",46814,10832
47163042801,"Census Tract 428.01, Sullivan County, Tennessee",44306,13865
47163043600,"Census Tract 436, Sullivan County, Tennessee",69029,6858
47163042900,"Census Tract 429, Sullivan County, Tennessee",66034,9025
47163043500,"Census Tract 435, Sullivan County, Tennessee",62545,11484
47163041400,"Census Tract 414, Sullivan County, Tennessee",45250,9186
47163041800,"Census Tract 418, Sullivan County, Tennessee",34603,6779
47163042701,"Census Tract 427.01, Sullivan County, Tennessee",31619,7447
47163040700,"Census Tract 407, Sullivan County, Tennessee",38958,7163
47163041000,"Census Tract 410, Sullivan County, Tennessee",79196,12076
47163041500,"Census Tract 415, Sullivan County, Tennessee",78661,10765
47163041600,"Census Tract 416, Sullivan County, Tennessee",47292,12470
47163041700,"Census Tract 417, Sullivan County, Tennessee",38304,5888
47163042000,"Census Tract 420, Sullivan County, Tennessee",45353,3750
47163040300,"Census Tract 403, Sullivan County, Tennessee",34019,6541
47163041200,"Census Tract 412, Sullivan County, Tennessee",53007,9568
47163042300,"Census Tract 423, Sullivan County, Tennessee",59109,6620
47163042400,"Census Tract 424, Sullivan County, Tennessee",46230,6410
47163042702,"Census Tract 427.02, Sullivan County, Tennessee",54306,12880
47163040200,"Census Tract 402, Sullivan County, Tennessee",20112,4659
47163040800,"Census Tract 408, Sullivan County, Tennessee",41940,4960
47163042200,"Census Tract 422, Sullivan County, Tennessee",51186,6419
47163042500,"Census Tract 425, Sullivan County, Tennessee",49320,4604
47163043100,"Census Tract 431, Sullivan County, Tennessee",45366,6653
47163041100,"Census Tract 411, Sullivan County, Tennessee",51048,10079
47163042802,"Census Tract 428.02, Sullivan County, Tennessee",33561,4335
47163041900,"Census Tract 419, Sullivan County, Tennessee",46098,8023
47163040600,"Census Tract 406, Sullivan County, Tennessee",24035,3775
47171080200,"Census Tract 802, Unicoi County, Tennessee",37031,8872
47171080400,"Census Tract 804, Unicoi County, Tennessee",42388,6597
47171080300,"Census Tract 803, Unicoi County, Tennessee",42821,4805
47171080100,"Census Tract 801, Unicoi County, Tennessee",45913,12770
47179060400,"Census Tract 604, Washington County, Tennessee",58568,12414
47141001000,"Census Tract 10, Putnam County, Tennessee",55272,3430
47153060200,"Census Tract 602, Sequatchie County, Tennessee",69688,16063
47005963100,"Census Tract 9631, Benton County, Tennessee",45388,10641
47005963200,"Census Tract 9632, Benton County, Tennessee",40375,9826
47005963300,"Census Tract 9633, Benton County, Tennessee",31142,4621
47005963400,"Census Tract 9634, Benton County, Tennessee",35082,5186
47007953000,"Census Tract 9530, Bledsoe County, Tennessee",37013,3651
47037011002,"Census Tract 110.02, Davidson County, Tennessee",49926,5990
47037014300,"Census Tract 143, Davidson County, Tennessee",35313,7267
47037015402,"Census Tract 154.02, Davidson County, Tennessee",69740,8856
47037015405,"Census Tract 154.05, Davidson County, Tennessee",62143,6753
47037015502,"Census Tract 155.02, Davidson County, Tennessee",46786,8701
47037015615,"Census Tract 156.15, Davidson County, Tennessee",45552,6038
47037015618,"Census Tract 156.18, Davidson County, Tennessee",53969,5502
47037016500,"Census Tract 165, Davidson County, Tennessee",54491,6667
47037016800,"Census Tract 168, Davidson County, Tennessee",58810,10391
47037017402,"Census Tract 174.02, Davidson County, Tennessee",41354,4313
47037017500,"Census Tract 175, Davidson County, Tennessee",36283,7650
47037018102,"Census Tract 181.02, Davidson County, Tennessee",81724,15625
47037018401,"Census Tract 184.01, Davidson County, Tennessee",60518,9012
47037018602,"Census Tract 186.02, Davidson County, Tennessee",188375,28713
47037019003,"Census Tract 190.03, Davidson County, Tennessee",47906,6937
47037012600,"Census Tract 126, Davidson County, Tennessee",50764,16896
47037010501,"Census Tract 105.01, Davidson County, Tennessee",60990,15120
47035970200,"Census Tract 9702, Cumberland County, Tennessee",51083,8792
47035970400,"Census Tract 9704, Cumberland County, Tennessee",34219,5618
47035970800,"Census Tract 9708, Cumberland County, Tennessee",43712,7122
47157002400,"Census Tract 24, Shelby County, Tennessee",25865,5290
47099960900,"Census Tract 9609, Lawrence County, Tennessee",42024,8944
47099960300,"Census Tract 9603, Lawrence County, Tennessee",44618,4590
47099960200,"Census Tract 9602, Lawrence County, Tennessee",47563,6026
47099960700,"Census Tract 9607, Lawrence County, Tennessee",49865,6892
47099960800,"Census Tract 9608, Lawrence County, Tennessee",44955,8805
47113000100,"Census Tract 1, Madison County, Tennessee",49123,4612
47113000500,"Census Tract 5, Madison County, Tennessee",18884,5622
47113000700,"Census Tract 7, Madison County, Tennessee",28542,5815
47113001100,"Census Tract 11, Madison County, Tennessee",14452,3442
47113001402,"Census Tract 14.02, Madison County, Tennessee",57212,6088
47113001502,"Census Tract 15.02, Madison County, Tennessee",54435,9394
47113001605,"Census Tract 16.05, Madison County, Tennessee",43781,7800
47113001606,"Census Tract 16.06, Madison County, Tennessee",56074,3121
47113001609,"Census Tract 16.09, Madison County, Tennessee",74432,13081
47113001700,"Census Tract 17, Madison County, Tennessee",52951,8170
47113000800,"Census Tract 8, Madison County, Tennessee",18235,2792
47157022500,"Census Tract 225, Shelby County, Tennessee",40000,5354
47157022600,"Census Tract 226, Shelby County, Tennessee",35967,5759
47149040102,"Census Tract 401.02, Rutherford County, Tennessee",70425,5340
47149040303,"Census Tract 403.03, Rutherford County, Tennessee",46645,8143
47149040304,"Census Tract 403.04, Rutherford County, Tennessee",62653,6064
47149040305,"Census Tract 403.05, Rutherford County, Tennessee",27689,13758
47149040306,"Census Tract 403.06, Rutherford County, Tennessee",68285,12866
47149040307,"Census Tract 403.07, Rutherford County, Tennessee",93750,11868
47157010210,"Census Tract 102.10, Shelby County, Tennessee",33944,7652
47157011020,"Census Tract 110.20, Shelby County, Tennessee",36667,7560
47157020511,"Census Tract 205.11, Shelby County, Tennessee",50929,9998
47157020700,"Census Tract 207, Shelby County, Tennessee",77500,6901
47157021200,"Census Tract 212, Shelby County, Tennessee",NA,NA
47157020820,"Census Tract 208.20, Shelby County, Tennessee",110750,16019
47157021135,"Census Tract 211.35, Shelby County, Tennessee",56518,9198
47157021410,"Census Tract 214.10, Shelby County, Tennessee",109188,8246
47157021753,"Census Tract 217.53, Shelby County, Tennessee",66452,5846
47157022310,"Census Tract 223.10, Shelby County, Tennessee",23948,4417
47157022322,"Census Tract 223.22, Shelby County, Tennessee",42676,9595
47157022410,"Census Tract 224.10, Shelby County, Tennessee",38333,11049
47157000700,"Census Tract 7, Shelby County, Tennessee",19137,1958
47157001100,"Census Tract 11, Shelby County, Tennessee",24984,8804
47157001900,"Census Tract 19, Shelby County, Tennessee",28235,12399
47157003200,"Census Tract 32, Shelby County, Tennessee",37435,5782
47157020300,"Census Tract 203, Shelby County, Tennessee",48261,7883
47157021010,"Census Tract 210.10, Shelby County, Tennessee",71662,10305
47157020621,"Census Tract 206.21, Shelby County, Tennessee",40551,7034
47157021420,"Census Tract 214.20, Shelby County, Tennessee",100733,20443
47157022112,"Census Tract 221.12, Shelby County, Tennessee",36515,9204
47065011324,"Census Tract 113.24, Hamilton County, Tennessee",113478,16734
47119011200,"Census Tract 112, Maury County, Tennessee",54680,7641
47119010900,"Census Tract 109, Maury County, Tennessee",63452,11568
47119010100,"Census Tract 101, Maury County, Tennessee",55868,5479
47119010600,"Census Tract 106, Maury County, Tennessee",40903,5544
47007953100,"Census Tract 9531, Bledsoe County, Tennessee",45909,7012
47007953200,"Census Tract 9532, Bledsoe County, Tennessee",48030,7251
47013950300,"Census Tract 9503, Campbell County, Tennessee",40966,7412
47013950700,"Census Tract 9507, Campbell County, Tennessee",39307,8007
47013950100,"Census Tract 9501, Campbell County, Tennessee",34866,7661
47013950200,"Census Tract 9502, Campbell County, Tennessee",23417,5616
47013950600,"Census Tract 9506, Campbell County, Tennessee",31979,3405
47013950500,"Census Tract 9505, Campbell County, Tennessee",46207,2289
47013950800,"Census Tract 9508, Campbell County, Tennessee",43839,9216
47013950900,"Census Tract 9509, Campbell County, Tennessee",31300,6760
47013951000,"Census Tract 9510, Campbell County, Tennessee",33663,6415
47013951100,"Census Tract 9511, Campbell County, Tennessee",54736,5997
47013950400,"Census Tract 9504, Campbell County, Tennessee",46964,12191
47009010400,"Census Tract 104, Blount County, Tennessee",56847,6869
47015960100,"Census Tract 9601, Cannon County, Tennessee",54063,5874
47015960300,"Census Tract 9603, Cannon County, Tennessee",66061,7471
47015960200,"Census Tract 9602, Cannon County, Tennessee",45917,7912
47031970200,"Census Tract 9702, Coffee County, Tennessee",45179,7468
47031970400,"Census Tract 9704, Coffee County, Tennessee",58693,14683
47031970500,"Census Tract 9705, Coffee County, Tennessee",57128,7518
47031970600,"Census Tract 9706, Coffee County, Tennessee",48988,9372
47031970300,"Census Tract 9703, Coffee County, Tennessee",54900,5669
47031970900,"Census Tract 9709, Coffee County, Tennessee",29942,4561
47031970100,"Census Tract 9701, Coffee County, Tennessee",58884,10848
47031970700,"Census Tract 9707, Coffee County, Tennessee",49421,8549
47031971000,"Census Tract 9710, Coffee County, Tennessee",52356,10422
47047060600,"Census Tract 606, Fayette County, Tennessee",44483,9336
47047060300,"Census Tract 603, Fayette County, Tennessee",33938,5976
47073050200,"Census Tract 502, Hawkins County, Tennessee",46250,13879
47073050400,"Census Tract 504, Hawkins County, Tennessee",38666,3441
